ID_Tempo;Cod_Tempo;Data;Numero_Dia_Semana;Numero_Mes;Numero_Ano;Nome_Mes;Numero_Trimestre;Nome_Trimestre;Numero_Semestre;Nome_Semestre
1;20130101;31/12/2012;3;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
2;20130102;01/01/2013;4;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
3;20130103;02/01/2013;5;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
4;20130104;03/01/2013;6;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
5;20130105;04/01/2013;7;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
6;20130106;05/01/2013;1;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
7;20130107;06/01/2013;2;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
8;20130108;07/01/2013;3;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
9;20130109;08/01/2013;4;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
10;20130110;09/01/2013;5;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
11;20130111;10/01/2013;6;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
12;20130112;11/01/2013;7;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
13;20130113;12/01/2013;1;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
14;20130114;13/01/2013;2;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
15;20130115;14/01/2013;3;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
16;20130116;15/01/2013;4;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
17;20130117;16/01/2013;5;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
18;20130118;17/01/2013;6;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
19;20130119;18/01/2013;7;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
20;20130120;19/01/2013;1;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
21;20130121;20/01/2013;2;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
22;20130122;21/01/2013;3;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
23;20130123;22/01/2013;4;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
24;20130124;23/01/2013;5;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
